epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,75970.4,1.43469,1.49099,1.38144,0.55075,0.41049,0.43134,0.29456,1.21405,1.29433,1.2088,0.005347,0.005347,0.005347
96,76764.8,1.43719,1.49291,1.38277,0.54894,0.41122,0.43172,0.29469,1.21366,1.29364,1.20842,0.0052975,0.0052975,0.0052975
97,77562.2,1.43467,1.48935,1.38187,0.54895,0.40977,0.43168,0.29474,1.21328,1.29263,1.20796,0.005248,0.005248,0.005248
98,78363.5,1.43636,1.49041,1.38253,0.55549,0.40839,0.43237,0.29469,1.21298,1.29207,1.2076,0.0051985,0.0051985,0.0051985
99,79160.3,1.43637,1.48977,1.37982,0.5516,0.40805,0.43222,0.295,1.21271,1.29158,1.20715,0.005149,0.005149,0.005149
100,79950.8,1.43342,1.48678,1.3808,0.54391,0.41122,0.43274,0.29545,1.21219,1.29138,1.20686,0.0050995,0.0050995,0.0050995
101,80746.2,1.43305,1.48521,1.37912,0.55211,0.40911,0.43347,0.29564,1.21196,1.29114,1.20673,0.00505,0.00505,0.00505
102,81537.9,1.43256,1.48379,1.37747,0.546,0.41417,0.43438,0.29602,1.21162,1.29035,1.20633,0.0050005,0.0050005,0.0050005
103,82333,1.43196,1.4837,1.37859,0.54766,0.41464,0.43515,0.29614,1.21129,1.2899,1.20601,0.004951,0.004951,0.004951
104,83126.7,1.43125,1.48348,1.37784,0.54879,0.4145,0.43542,0.29632,1.21109,1.28979,1.20578,0.0049015,0.0049015,0.0049015
105,83925.3,1.42905,1.47971,1.37815,0.54496,0.41459,0.43605,0.29653,1.21069,1.28921,1.20543,0.004852,0.004852,0.004852
106,84722.4,1.43014,1.48081,1.37785,0.55048,0.41468,0.43631,0.29663,1.21033,1.28861,1.20528,0.0048025,0.0048025,0.0048025
107,85512.5,1.43013,1.47838,1.37675,0.55273,0.414,0.43658,0.29711,1.20987,1.288,1.20496,0.004753,0.004753,0.004753
108,86318.1,1.43137,1.47816,1.37648,0.5584,0.41125,0.43678,0.2975,1.20985,1.28676,1.20495,0.0047035,0.0047035,0.0047035
109,87120.2,1.42748,1.4755,1.37534,0.55308,0.4141,0.43692,0.29662,1.21009,1.28617,1.205,0.004654,0.004654,0.004654
110,87918.9,1.42783,1.47575,1.37573,0.5449,0.41706,0.43697,0.29685,1.20986,1.28593,1.20464,0.0046045,0.0046045,0.0046045
111,88716.8,1.42437,1.47302,1.37254,0.54801,0.41647,0.43686,0.29689,1.20956,1.28507,1.20422,0.004555,0.004555,0.004555
112,89511.8,1.42482,1.47083,1.37318,0.54886,0.41733,0.43728,0.2974,1.20936,1.28459,1.20418,0.0045055,0.0045055,0.0045055
113,90306.3,1.42481,1.47168,1.37374,0.55055,0.41724,0.4374,0.2974,1.20929,1.28419,1.20398,0.004456,0.004456,0.004456
114,91104.5,1.42387,1.47258,1.37425,0.55034,0.41981,0.43745,0.29807,1.20881,1.28399,1.20359,0.0044065,0.0044065,0.0044065
115,91901,1.42245,1.46703,1.37236,0.55056,0.41873,0.43782,0.29832,1.20857,1.28395,1.20334,0.004357,0.004357,0.004357
116,92697.1,1.42182,1.46653,1.37047,0.55119,0.41861,0.43791,0.29848,1.20841,1.28374,1.20292,0.0043075,0.0043075,0.0043075
117,93488.5,1.42252,1.46777,1.37222,0.55267,0.41789,0.43819,0.29829,1.20772,1.28293,1.2023,0.004258,0.004258,0.004258
118,94283.6,1.42244,1.46485,1.36973,0.55062,0.41969,0.4386,0.29873,1.20762,1.28191,1.20217,0.0042085,0.0042085,0.0042085
119,95076.5,1.42358,1.46427,1.36996,0.55787,0.41698,0.43902,0.2988,1.20749,1.28114,1.20192,0.004159,0.004159,0.004159
120,95877,1.42177,1.46384,1.37054,0.55023,0.42087,0.43923,0.29885,1.20723,1.28004,1.20169,0.0041095,0.0041095,0.0041095
121,96675,1.42058,1.46193,1.36861,0.54969,0.42197,0.4393,0.2988,1.20724,1.27985,1.20164,0.00406,0.00406,0.00406
122,97474.2,1.41848,1.45842,1.36622,0.54203,0.42179,0.43894,0.2991,1.20702,1.27965,1.20144,0.0040105,0.0040105,0.0040105
123,98273.2,1.41799,1.45982,1.36974,0.54108,0.42298,0.43929,0.29912,1.20682,1.27917,1.20125,0.003961,0.003961,0.003961
124,99074.6,1.41538,1.45855,1.3669,0.54168,0.42274,0.43963,0.29924,1.20626,1.27859,1.20073,0.0039115,0.0039115,0.0039115
125,99873.2,1.41556,1.45611,1.36601,0.54697,0.42228,0.44015,0.29956,1.20582,1.27827,1.20025,0.003862,0.003862,0.003862
126,100671,1.41385,1.45414,1.36533,0.54446,0.42432,0.4407,0.29993,1.2054,1.27792,1.19985,0.0038125,0.0038125,0.0038125
127,101471,1.41379,1.45456,1.36514,0.54286,0.42539,0.44124,0.30007,1.20512,1.27752,1.19945,0.003763,0.003763,0.003763
128,102272,1.41407,1.45408,1.365,0.54666,0.42363,0.44167,0.30017,1.20495,1.27698,1.19925,0.0037135,0.0037135,0.0037135
129,103062,1.41326,1.45162,1.3644,0.54327,0.42522,0.44185,0.30057,1.20463,1.27612,1.19901,0.003664,0.003664,0.003664
130,103856,1.41097,1.44921,1.36353,0.54069,0.42679,0.44162,0.30074,1.20424,1.2758,1.19881,0.0036145,0.0036145,0.0036145
131,104650,1.41165,1.44881,1.36585,0.54546,0.42195,0.44192,0.30097,1.20401,1.27585,1.19863,0.003565,0.003565,0.003565
132,105445,1.41162,1.44997,1.36356,0.54189,0.42498,0.44175,0.30115,1.20389,1.27589,1.19843,0.0035155,0.0035155,0.0035155
133,106248,1.40909,1.44507,1.36191,0.54481,0.42372,0.44232,0.30132,1.20359,1.2756,1.19821,0.003466,0.003466,0.003466
134,107048,1.4082,1.44528,1.36132,0.53871,0.42843,0.44235,0.3009,1.20341,1.27533,1.1981,0.0034165,0.0034165,0.0034165
135,107846,1.40717,1.44265,1.35993,0.54044,0.42672,0.44263,0.30087,1.203,1.27507,1.19787,0.003367,0.003367,0.003367
136,108644,1.4059,1.43945,1.35867,0.54965,0.42456,0.44285,0.30171,1.20283,1.2745,1.19764,0.0033175,0.0033175,0.0033175
137,109440,1.40547,1.44029,1.35867,0.55005,0.42395,0.44347,0.30161,1.20248,1.27506,1.19724,0.003268,0.003268,0.003268
138,110231,1.40495,1.43928,1.35805,0.56068,0.42063,0.44412,0.30203,1.20192,1.27443,1.19677,0.0032185,0.0032185,0.0032185
139,111026,1.40426,1.43785,1.35841,0.55607,0.42226,0.4446,0.30227,1.20148,1.27383,1.19636,0.003169,0.003169,0.003169
140,111819,1.4043,1.43648,1.35788,0.55993,0.4198,0.445,0.30256,1.20126,1.27331,1.19589,0.0031195,0.0031195,0.0031195
141,112613,1.40277,1.43616,1.35788,0.5612,0.41884,0.44471,0.30253,1.2012,1.27254,1.1956,0.00307,0.00307,0.00307
142,113405,1.40099,1.43236,1.35526,0.55867,0.41866,0.44484,0.30296,1.201,1.27229,1.19529,0.0030205,0.0030205,0.0030205
143,114196,1.40287,1.43272,1.35477,0.55933,0.41965,0.44534,0.30319,1.20074,1.27177,1.19497,0.002971,0.002971,0.002971
144,114990,1.39954,1.43228,1.3548,0.55406,0.42261,0.44559,0.30337,1.20037,1.27117,1.19448,0.0029215,0.0029215,0.0029215
145,115783,1.39911,1.42765,1.35539,0.55994,0.42025,0.44649,0.30424,1.19996,1.27045,1.19393,0.002872,0.002872,0.002872
146,116580,1.3956,1.42614,1.3528,0.56262,0.42011,0.44651,0.30479,1.19962,1.26901,1.19365,0.0028225,0.0028225,0.0028225
147,117377,1.39628,1.42501,1.35283,0.56258,0.42029,0.44659,0.30522,1.19921,1.26793,1.19315,0.002773,0.002773,0.002773
148,118168,1.39629,1.42351,1.35003,0.55573,0.42129,0.44691,0.30508,1.199,1.26712,1.19299,0.0027235,0.0027235,0.0027235
149,118971,1.39514,1.42137,1.35016,0.55248,0.42423,0.44757,0.30594,1.19863,1.2663,1.19275,0.002674,0.002674,0.002674
150,119772,1.39471,1.41912,1.35052,0.55755,0.4223,0.44818,0.30661,1.19817,1.26521,1.19237,0.0026245,0.0026245,0.0026245
151,120573,1.39297,1.41772,1.34971,0.5549,0.42187,0.44828,0.30672,1.19775,1.265,1.19207,0.002575,0.002575,0.002575
152,121369,1.38985,1.41622,1.34666,0.55402,0.42107,0.44802,0.30677,1.19747,1.26398,1.19182,0.0025255,0.0025255,0.0025255
153,122167,1.39055,1.41468,1.3468,0.55501,0.42216,0.44841,0.30657,1.19716,1.26368,1.19148,0.002476,0.002476,0.002476
154,122962,1.39159,1.41408,1.34697,0.54824,0.4281,0.44888,0.30744,1.19688,1.26277,1.19108,0.0024265,0.0024265,0.0024265
155,123756,1.38928,1.41243,1.34673,0.54946,0.42722,0.44907,0.30766,1.19647,1.26249,1.19066,0.002377,0.002377,0.002377
156,124552,1.38725,1.40847,1.34632,0.54528,0.43092,0.44938,0.30794,1.19611,1.2611,1.19039,0.0023275,0.0023275,0.0023275
157,125347,1.38493,1.40878,1.34469,0.54276,0.43114,0.45057,0.30863,1.19564,1.26043,1.19012,0.002278,0.002278,0.002278
158,126144,1.38804,1.40841,1.34389,0.54463,0.43439,0.45055,0.30883,1.19519,1.25933,1.18969,0.0022285,0.0022285,0.0022285
159,126944,1.38516,1.40413,1.34377,0.54561,0.43305,0.45101,0.30929,1.19487,1.25906,1.18937,0.002179,0.002179,0.002179
160,127737,1.38443,1.40098,1.34196,0.54802,0.43043,0.4508,0.30941,1.19443,1.25822,1.18887,0.0021295,0.0021295,0.0021295
